Japenese Together,Japanese,Ja to En
言いきれ 6,言いきれ ,I can say
ユニバーサル 6,ユニバーサル ,Universal
クルーベック 6,クルーベック ,Crubeck
ウィスパリング 6,ウィスパリング ,Whispering
木の 6,木の ,Wood
手出 6,手出 ,dabble
溜まり場 6,溜まり場 ,Hangout
溶剤 6,溶剤 ,Solvent
レーンシャー 6,レーンシャー ,Lehnsherr
フッ飛ば 6,フッ飛ば ,Flip away
かたくな 6,かたくな ,Stubborn
いらしゃ 6,いらしゃ ,Irassha
取りな 6,取りな ,Take it
マルニック 6,マルニック ,Malnik
柤 6,柤 ,柤
集約 6,集約 ,Aggregation
maco 6,maco ,maco
グラル 6,グラル ,Guraru
珍重 6,珍重 ,prized
神業 6,神業 ,Miracle
局部 6,局部 ,local area
可狽 6,可狽 ,Possible
オマル 6,オマル ,Omar
てぼ 6,てぼ ,Tebo
レイザ 6,レイザ ,Rayza
御託 6,御託 ,Trust
履き替え 6,履き替え ,Change of shoes
patient 6,patient ,Patient
バーベル 6,バーベル ,Barbell
むちゃくちゃ 6,むちゃくちゃ ,Crazy
バイオテクノロジー 6,バイオテクノロジー ,Biotechnology
松下 6,松下 ,Matsushita
テンジン 6,テンジン ,Tenzing
重石 6,重石 ,Weight
こび 6,こび ,Kobi
川辺 6,川辺 ,Riverside
シェーリ 6,シェーリ ,Sheri
享受 6,享受 ,enjoy
army 6,army ,army
クロナゼパム 6,クロナゼパム ,Clonazepam
吃 6,吃 ,stuttering
エスキャン 6,エスキャン ,Scan
デリアン 6,デリアン ,Delian
チヤ 6,チヤ ,Chia
痛が 6,痛が ,Pain
ヴィーナ 6,ヴィーナ ,Vina
鬼婆 6,鬼婆 ,Hag
イエベン 6,イエベン ,Yeven
脅せ 6,脅せ ,Threaten
太っ腹 6,太っ腹 ,Generous
引き起こせ 6,引き起こせ ,Cause
blat 6,blat ,blat
むさぼり食 6,むさぼり食 ,Gorging
売れ行き 6,売れ行き ,Sales
チョコバー 6,チョコバー ,Chocolate bar
狭ま 6,狭ま ,Narrow
セビョーン 6,セビョーン ,Sebjorn
芳香 6,芳香 ,aroma
ヨーデル 6,ヨーデル ,Yodel
シートン 6,シートン ,Seton
孫子 6,孫子 ,Sun Tzu
バグジー 6,バグジー ,Bugsy
clean 6,clean ,clean
ジュジュ 6,ジュジュ ,Juju
アロハ 6,アロハ ,Aloha
アーチボルド 6,アーチボルド ,Archibald
敵襲 6,敵襲 ,enemy attack
ダディー 6,ダディー ,Daddy
rolling 6,rolling ,rolling
にお 6,にお ,To
ポゴ 6,ポゴ ,Pogo
ツェラー 6,ツェラー ,Zeller
盗み見 6,盗み見 ,Peeking
すんご 6,すんご ,Sungo
ブレンド 6,ブレンド ,Blend
下記 6,下記 ,the below described 
オポッサム 6,オポッサム ,Opossum
March 6,March ,March
レンコ 6,レンコ ,Renko
ファハド 6,ファハド ,Fahad
イグレット 6,イグレット ,Egret
猫砂 6,猫砂 ,cat litter
手伝わ 6,手伝わ ,Help
nine 6,nine ,nine
ポイペト 6,ポイペト ,Poipet
叙事 6,叙事 ,epic
ウォウ 6,ウォウ ,Wow
fcb 6,fcb ,fcb
会わ 6,会わ ,Meet
肩幅 6,肩幅 ,Shoulder width
黄土色 6,黄土色 ,ocher
露天 6,露天 ,Open-air
hy 6,hy ,hy
ml 6,ml ,ml
お払い 6,お払い ,Payment
アズ 6,アズ ,Az
mufc 6,mufc ,mufc
まぶた 6,まぶた ,Eyelids
older 6,older ,older
心灵 6,心灵 ,heartbreak
ジャル 6,ジャル ,Jar
rico 6,rico ,rico
重機 6,重機 ,Heavy machinery
リサイタル 6,リサイタル ,Recital
い骨 6,い骨 ,Bone
シュノーケル 6,シュノーケル ,Snorkel
ブライ 6,ブライ ,Bry
帰投 6,帰投 ,Return to base
gg 6,gg ,gg
漏 6,漏 ,Leakage
網羅 6,網羅 ,Comprehensive
ペイ 6,ペイ ,Pay
スピット 6,スピット ,Spit
ヤキモチ 6,ヤキモチ ,Jealousy
fisa 6,fisa ,fisa
ニナ 6,ニナ ,Nina
トレンブレー 6,トレンブレー ,Tremblay
physically 6,physically ,physically
dealing 6,dealing ,Dealing
アウトロー 6,アウトロー ,Outlaw
小数 6,小数 ,Decimal number
本館 6,本館 ,Main Building
めい 6,めい ,niece 
フリック 6,フリック ,Flick
エポック 6,エポック ,Epoch
空き巣 6,空き巣 ,Burglary
ar 6,ar ,ar
hungry 6,hungry ,hungry
ウヂ 6,ウヂ ,Uji
煩わし 6,煩わし ,Annoying
バウ 6,バウ ,Bow
ペピー 6,ペピー ,Peppy
ジョジョ 6,ジョジョ ,JoJo
ふるえ 6,ふるえ ,Tremors
入れ物 6,入れ物 ,Container
太腿 6,太腿 ,Thighs
不敬 6,不敬 ,disrespectful
ビジネスパートナー 6,ビジネスパートナー ,Business Partners
建て直 6,建て直 ,Reconstruction
バタフライ 6,バタフライ ,Butterfly
talkin 6,talkin ,Talkin'
sam 6,sam ,sam
ブラッシュ 6,ブラッシュ ,Brush
タイフォ 6,タイフォ ,Typhoon
パーガトリー 6,パーガトリー ,Purgatory
珍味 6,珍味 ,Delicacies
ペルロテ 6,ペルロテ ,Perrote
遺恨 6,遺恨 ,Grudge
ううむ 6,ううむ ,Hmm
おそろし 6,おそろし ,Scary
スロバキア 6,スロバキア ,Slovakia
求 6,求 ,request
盛況 6,盛況 ,Great turnout
パピ 6,パピ ,Papi
予兆 6,予兆 ,Omen
roofies 6,roofies ,roofies
傷つき 6,傷つき ,Hurt
大喝采 6,大喝采 ,Big applause
ドレイ 6,ドレイ ,Slave
真正 6,真正 ,authenticity
situation 6,situation ,situation
ホーボーケン 6,ホーボーケン ,Hoboken
だんなら 6,だんなら ,Well then
取っ替え 6,取っ替え ,Replacement
ハゲ頭 6,ハゲ頭 ,Bald Head
seeds 6,seeds ,seeds
火急 6,火急 ,fire emergency
ステイト 6,ステイト ,State
meeting 6,meeting ,meeting
はた 6,はた ,Hata
節目 6,節目 ,milestone
空家 6,空家 ,Vacant house
ヘミング 6,ヘミング ,Hemming
音節 6,音節 ,syllable
店内 6,店内 ,Inside the store 
ノーズ 6,ノーズ ,Nose
泪水 6,泪水 ,tears
塞ぎ 6,塞ぎ ,Blockage
战斗 6,战斗 ,battle
goodbye 6,goodbye ,goodbye
かかわり 6,かかわり ,Involvement
キュキュ 6,キュキュ ,Squeak squeak
バガ 6,バガ ,fool 
ファンク 6,ファンク ,Funk
boo 6,boo ,boo
無私 6,無私 ,selfless
イカリ 6,イカリ ,Anchor
noogie 6,noogie ,Noogie
香料 6,香料 ,fragrance
奪い取れ 6,奪い取れ ,Take it away
陰険 6,陰険 ,Sly
thee 6,thee ,thee
スモーカー 6,スモーカー ,Smoker
ジョウ 6,ジョウ ,Joe
呼気 6,呼気 ,Exhalation
たべ 6,たべ ,Eat
猿ぐつわ 6,猿ぐつわ ,Gag
プロモーション 6,プロモーション ,Promotion
beyond 6,beyond ,beyond
デュマール 6,デュマール ,Dumar
ヤっちま 6,ヤっちま ,Do it
フラナガン 6,フラナガン ,Flanagan
きもの 6,きもの ,Kimono
ラクト 6,ラクト ,Lacto
ap 6,ap ,ap
コーンフレーク 6,コーンフレーク ,Corn flakes
奇 6,奇 ,strange
其の 6,其の ,That
バイザー 6,バイザー ,Visor
火元 6,火元 ,Source of fire
ウインターフェル 6,ウインターフェル ,Winterfell
フィズル 6,フィズル ,Fizzle
遠近 6,遠近 ,perspective
シェムハザ 6,シェムハザ ,Shemhaza
障碍 6,障碍 ,disability
丿ヾカ 6,丿ヾカ ,ヾKa
タルタル 6,タルタル ,Tartar
マタコーア 6,マタコーア ,Matakoa
レフ 6,レフ ,Lev
失去 6,失去 ,disappearance
office 6,office ,Office
态 6,态 ,condition
ラッキン 6,ラッキン ,Luckin
チーン 6,チーン ,Ding
ダーティー 6,ダーティー ,Dirty
コトキン 6,コトキン ,Kotokin
pal 6,pal ,pal
build 6,build ,build
外線 6,外線 ,outside line
ネガン 6,ネガン ,Negan
遥々 6,遥々 ,Far away
思い直 6,思い直 ,Reconsider
于 6,于 ,Yu
背丈 6,背丈 ,Height
痛感 6,痛感 ,keen sense
下れ 6,下れ ,Get off
不作 6,不作 ,Poor harvest
カンサス 6,カンサス ,Kansas
ミッテラン 6,ミッテラン ,Mitterrand
就算 6,就算 ,employment
ジェイコブズ 6,ジェイコブズ ,Jacobs
覇 6,覇 ,Dominate
ホードール 6,ホードール ,Hodor
裁縫 6,裁縫 ,sewing
官庁 6,官庁 ,Government
kig 6,kig ,kig
figured 6,figured ,figured
使わ 6,使わ ,Use
时候 6,时候 ,time
はみ出し 6,はみ出し ,Overhang
forward 6,forward ,forward
發 6,發 ,Development
モリモリ 6,モリモリ ,Very
改正 6,改正 ,Amendment
エプコット 6,エプコット ,Epcot
フーニエ 6,フーニエ ,Fournier
クヴァック 6,クヴァック ,Kuvak
生き様 6,生き様 ,Life
worked 6,worked ,worked
トリスタン 6,トリスタン ,Tristan
デュアル 6,デュアル ,Dual
マロー 6,マロー ,Mallow
ヘンドリクス 6,ヘンドリクス ,Hendrix
付け根 6,付け根 ,Base
啾 6,啾 ,徾
ポートス 6,ポートス ,Ports
ﾍﾞﾙﾘﾝ 6,ﾍﾞﾙﾘﾝ ,Berlin
art 6,art ,art
即ち 6,即ち ,That is
ラシーン 6,ラシーン ,Racine
善処 6,善処 ,Good deed
次善 6,次善 ,Second best
マトックス 6,マトックス ,Mattox
サメンコ 6,サメンコ ,Samenko
bomb 6,bomb ,bomb
レノー 6,レノー ,Reynaud
車外 6,車外 ,outside the car
センチメンタル 6,センチメンタル ,Sentimental
visit 6,visit ,visit
海抜 6,海抜 ,Above sea level
coins 6,coins ,coins
面食ら 6,面食ら ,Surprised
チャリング 6,チャリング ,Charing
イヤァ 6,イヤァ ,Yeaah
either 6,either ,either
くそくらえだ 6,くそくらえだ ,FUCK THAT
ゼネラル 6,ゼネラル ,General
ソルディーノ 6,ソルディーノ ,Sordino
サディン 6,サディン ,Sadin
check 6,check ,check
ピケット 6,ピケット ,Pickett
moving 6,moving ,moving
タイプライター 6,タイプライター ,Typewriter
hk 6,hk ,hk
誹謗 6,誹謗 ,slander
おとぎ 6,おとぎ ,Fairy tale
めで 6,めで ,Happy
レズニック 6,レズニック ,Resnick
ﾛｹﾞｯﾄ 6,ﾛｹﾞｯﾄ ,Roget
冑 6,冑 ,helmet
不知道 6,不知道 ,Shiranichi
やぁー 6,やぁー ,Hey!
あび 6,あび ,Loon
バースディ 6,バースディ ,Birthday
デンドロトキシン 6,デンドロトキシン ,Dendrotoxin
明言 6,明言 ,Statement
イェン 6,イェン ,Yen
若手 6,若手 ,Young
ブレスレッド 6,ブレスレッド ,Bracelet
桁違い 6,桁違い ,Order of magnitude
james 6,james ,james
サリート 6,サリート ,Salit
イザコザ 6,イザコザ ,Trouble
ginormica 6,ginormica ,ginormica
felt 6,felt ,felt
造反 6,造反 ,rebellion
バーミンガム 6,バーミンガム ,Birmingham
竄 6,竄 ,竄
ヴアン 6,ヴアン ,Van
みま 6,みま ,Mima
kt 6,kt ,kt
ダンシング 6,ダンシング ,Dancing
襄 6,襄 ,襄
伐 6,伐 ,felling
ゼフラム 6,ゼフラム ,Zefram
fell 6,fell ,fell
入管 6,入管 ,Immigration
放せよ 6,放せよ ,Let go
ヴァーナ 6,ヴァーナ ,Varna
nos 6,nos ,nos
ヴォーカル 6,ヴォーカル ,Vocals
ジャス 6,ジャス ,JAS
渡辺 6,渡辺 ,Watanabe
どなたか 6,どなたか ,Anyone?
fucked 6,fucked ,fucked
ズルイ 6,ズルイ ,Cheat
かっ切 6,かっ切 ,Cut off
賛否 6,賛否 ,Pros and Cons
オーガナ 6,オーガナ ,Organa
ハーベイ 6,ハーベイ ,Harvey
メルヴィン 6,メルヴィン ,Melvin
がれき 6,がれき ,Rubble
ふらふら 6,ふらふら ,Unsteady
グレーブ 6,グレーブ ,Grave
航 6,航 ,voyage
egg 6,egg ,egg
loss 6,loss ,loss
クジャク 6,クジャク ,Peacock
順列 6,順列 ,Permutations
マシュウコ 6,マシュウコ ,Mashuuko
ザッ 6,ザッ ,That
ｏｂ 6,ｏｂ ,ob
フォルサム 6,フォルサム ,Folsom
籠城 6,籠城 ,Siege
弾み 6,弾み ,Momentum
rtcc 6,rtcc ,rtcc
ピクセル 6,ピクセル ,Pixels
珈琲 6,珈琲 ,Coffee
ドンドン 6,ドンドン ,"Knock, Knock"
ｎｏ 6,ｎｏ ,No
グローガン 6,グローガン ,Grogan
変速 6,変速 ,Gear shifting
家名 6,家名 ,Family name
クラシファイド 6,クラシファイド ,Classifieds
輪縄 6,輪縄 ,Noose
没错 6,没错 ,dead
fan 6,fan ,Fan
ｒｐｍ 6,ｒｐｍ ,RPM
謀 6,謀 ,conspiracy
ぶちかま 6,ぶちかま ,Buchikama
ハリム 6,ハリム ,Halim
下働き 6,下働き ,Servant
ゲータ 6,ゲータ ,Gaiter
関わり合 6,関わり合 ,Involvement
養鶏 6,養鶏 ,Poultry farming
ぎゅっと 6,ぎゅっと ,Tightly
シチリア 6,シチリア ,Sicily
partner 6,partner ,partner
ied 6,ied ,ied
残量 6,残量 ,Remaining
敌 6,敌 ,enemy
オーシャン 6,オーシャン ,Ocean
引きずり出 6,引きずり出 ,Drag out
セントロ 6,セントロ ,Centro
おじゃん 6,おじゃん ,Ojan
learn 6,learn ,learn
わめき散ら 6,わめき散ら ,Screaming
animals 6,animals ,animals
虚言 6,虚言 ,Lies
駆け寄 6,駆け寄 ,Run over
stuff 6,stuff ,stuff
ミュート 6,ミュート ,Mute
ギャロ 6,ギャロ ,Gallo
ルミノール 6,ルミノール ,Luminol
タチアナ 6,タチアナ ,Tatiana
序列 6,序列 ,hierarchy
巻き付け 6,巻き付け ,Wrapping
ｱﾒﾘｶ 6,ｱﾒﾘｶ ,America
バアー 6,バアー ,Baa
ノーマル 6,ノーマル ,normal 
そっち側 6,そっち側 ,That side
イームス 6,イームス ,Eames
連載 6,連載 ,Series
シャック 6,シャック ,Shack
歯根 6,歯根 ,Root
硬変 6,硬変 ,cirrhosis
バエ 6,バエ ,Flies
那里 6,那里 ,Nari
那須 6,那須 ,Nasu
ミニカー 6,ミニカー ,Minicar
坂口 6,坂口 ,Sakaguchi
さぐ 6,さぐ ,Search
ブシャール 6,ブシャール ,Bouchard
你是 6,你是 ,You are
工員 6,工員 ,Factory worker
回去 6,回去 ,Relapse
きち 6,きち ,Kichi
別口 6,別口 ,Separate account
白々し 6,白々し ,Innocent
飛び降 6,飛び降 ,Jump
实 6,实 ,fact
足がかり 6,足がかり ,Stepping stone
离 6,离 ,separation
朝会 6,朝会 ,Morning meeting
是我 6,是我 ,This is me
カワード 6,カワード ,Coward
売血 6,売血 ,Selling Blood
quiet 6,quiet ,quiet
スマトラ 6,スマトラ ,Sumatra
関われ 6,関われ ,Get involved
たわい 6,たわい ,Trivial
挺 6,挺 ,Thread
あららら 6,あららら ,Oh dear
アレッヴ 6,アレッヴ ,Alev
お前ら 6,お前ら ,You guys
時勢 6,時勢 ,times
ヒスパニック 6,ヒスパニック ,Hispanic
丸焼け 6,丸焼け ,Roasted
高橋 6,高橋 ,Takahashi
ペトリ 6,ペトリ ,Petri
高跳び 6,高跳び ,High Jump
peace 6,peace ,peace
チラつ 6,チラつ ,A glimpse
どろ 6,どろ ,Mud
モラリス 6,モラリス ,Moralis
なごり雪 6,なごり雪 ,Lingering Snow
避 6,避 ,avoidance
ヘニガン 6,ヘニガン ,Hennigan
ソーム 6,ソーム ,Some
ハロ 6,ハロ ,Halo
外野 6,外野 ,Outfield
主炮 6,主炮 ,main gun
パーセク 6,パーセク ,Parsec
浩実 6,浩実 ,Hiromi
赤面 6,赤面 ,Blushing
セレーヤ 6,セレーヤ ,Seleya
胎盤 6,胎盤 ,placenta
逃せ 6,逃せ ,Get away
ロアーク 6,ロアーク ,Roark
アルジェント 6,アルジェント ,Argento
メラーク 6,メラーク ,Mellark
トランジスタ 6,トランジスタ ,Transistor
レーヴン 6,レーヴン ,Raven
コクピット 6,コクピット ,Cockpit
只是 6,只是 ,It's just that
パイエラ 6,パイエラ ,Paiella
ガフニー 6,ガフニー ,Gaffney
卜ン 6,卜ン ,Ton
チョキ 6,チョキ ,Scissors
供え物 6,供え物 ,Offerings
背任 6,背任 ,Breach of trust
私行 6,私行 ,private bank
倒れ込 6,倒れ込 ,Collapse
wybs 6,wybs ,wybs
事話 6,事話 ,story
ポーロ 6,ポーロ ,Polo
オーライン 6,オーライン ,O-Line
ケミカル 6,ケミカル ,Chemical
一生涯 6,一生涯 ,a lifetime
痩せこけ 6,痩せこけ ,Skinny
ルミエール 6,ルミエール ,Lumiere
樹立 6,樹立 ,establishment
ふーむ 6,ふーむ ,Hmm.
丸呑み 6,丸呑み ,Swallowed Whole
バギンズズ 6,バギンズズ ,Baggins'
敗血 6,敗血 ,sepsis
super 6,super ,super
ラモンソフ 6,ラモンソフ ,Ramonsov
ぐる 6,ぐる ,Guru
ウサ 6,ウサ ,Bunny
大川 6,大川 ,Okawa
痛ぇ 6,痛ぇ ,Ouch
母子 6,母子 ,mother and child
中座 6,中座 ,Leave
諜 6,諜 ,spy
正月 6,正月 ,New Year
兼任 6,兼任 ,Concurrent post
来賓 6,来賓 ,Guest
ロッカウェイ 6,ロッカウェイ ,Rockaway
タジア 6,タジア ,Tazia
情状 6,情状 ,situation
オアフ 6,オアフ ,Oahu
両人 6,両人 ,Both people
惣 6,惣 ,So
カラサール 6,カラサール ,Khalasar
藤本 6,藤本 ,Fujimoto
こしち 6,こしち ,Koshichi
悠長 6,悠長 ,leisurely
バム 6,バム ,Bam
いっか 6,いっか ,one's family 
ナイロビ 6,ナイロビ ,Nairobi
レンジャーズ 6,レンジャーズ ,Rangers
てこず 6,てこず ,Leverage
香響 6,香響 ,Fragrance
サラザー 6,サラザー ,Salazar
羽田 6,羽田 ,Haneda
リアクション 6,リアクション ,Reactions
グリセルダ 6,グリセルダ ,Griselda
憲雇 6,憲雇 ,legal employment
なじめ 6,なじめ ,Familiarization
スズメバチ 6,スズメバチ ,Hornet
arts 6,arts ,arts
よごれ 6,よごれ ,Dirt
ぐず 6,ぐず ,Slow
紛らわし 6,紛らわし ,Confusing
うめえ 6,うめえ ,Delicious
交霊 6,交霊 ,Seance
カイリー 6,カイリー ,Kylie
物分かり 6,物分かり ,Understanding
公だ 6,公だ ,It's public
磁化 6,磁化 ,magnetization
短小 6,短小 ,short and small
日当 6,日当 ,Daily allowance
ハンレー 6,ハンレー ,Hanley
古着 6,古着 ,Used clothing
紅葉 6,紅葉 ,autumn leaves 
門戸 6,門戸 ,Door
パリー 6,パリー ,Parry
穴倉 6,穴倉 ,Cave
昌皇め 6,昌皇め ,Emperor Sho
隷浴 6,隷浴 ,Slave bath
だっこ 6,だっこ ,Hug
キラッ 6,キラッ ,Sparkle
ステドマン 6,ステドマン ,Steadman
names 6,names ,names
スチュワーデス 6,スチュワーデス ,Stewardess
リズミカル 6,リズミカル ,Rhythmic
着目 6,着目 ,Focus
ヤロ 6,ヤロ ,Yaro
ヌァーラ 6,ヌァーラ ,Nuala
クォン 6,クォン ,Kwon
ぎっしり 6,ぎっしり ,Packed
seals 6,seals ,Seals
イルサ 6,イルサ ,Ilsa
総代 6,総代 ,Representative
ついつい 6,ついつい ,Unexpectedly
蘭子 6,蘭子 ,Ranko
元来 6,元来 ,Originally
コーチス 6,コーチス ,Coach
戻め 6,戻め ,Return
ゴボウ 6,ゴボウ ,Burdock
ままよ 6,ままよ ,Well then
セキュア 6,セキュア ,Secure
謹床 6,謹床 ,Shabbat
ジヨン 6,ジヨン ,Jiyeon
ようじ 6,ようじ ,Toothpick
ｋｏｓ 6,ｋｏｓ ,k.o.s
閑古 6,閑古 ,Quiet
trebles 6,trebles ,trebles
闊歩 6,闊歩 ,Stroll
決めちゃ 6,決めちゃ ,Decide
イクスタパ 6,イクスタパ ,Ixtapa
ソリーナ 6,ソリーナ ,Solina
出処 6,出処 ,Origin
ペナ 6,ペナ ,Pena
石臼 6,石臼 ,Millstone
ラッカ 6,ラッカ ,Raqqa
isis 6,isis ,isis
目まい 6,目まい ,Dizziness
はよ 6,はよ ,Hurry up
ノバク 6,ノバク ,Novak
ルータ 6,ルータ ,Router
増長 6,増長 ,Growth
励め 6,励め ,Encouragement
naveed 6,naveed ,naveed
餞別 6,餞別 ,Parting gift
遊歩 6,遊歩 ,Walking
プレザント 6,プレザント ,Pleasant
懸垂 6,懸垂 ,Pull-ups
ボラ 6,ボラ ,Mullet
ガウス 6,ガウス ,Gauss
デーマ 6,デーマ ,Theme
ニャンざ 6,ニャンざ ,Nyanza
ジャンヌ 6,ジャンヌ ,Jeanne
長野 6,長野 ,Nagano
定食 6,定食 ,Set meal
谷村 6,谷村 ,Tanimura
冨奮 6,冨奮 ,full of effort
ヵ毒 6,ヵ毒 ,Poison
ａｖ 6,ａｖ ,av
店主に 6,店主に ,To the shopkeeper
つき合わ 6,つき合わ ,Dating
制定 6,制定 ,enactment
クリフトン 6,クリフトン ,Clifton
バージー 6,バージー ,Bargie
ペンローズ 6,ペンローズ ,Penrose
カタパルト 6,カタパルト ,Catapult
謹霞 6,謹霞 ,Kasumi
ょぅて 6,ょぅて ,By
ツルツル 6,ツルツル ,Smooth
しゃく 6,しゃく ,Shaku
増進 6,増進 ,Increase
引きづ 6,引きづ ,Draw
ずい分 6,ずい分 ,A long time
ソリッド 6,ソリッド ,Solid
骨片 6,骨片 ,bone fragment
マジカル 6,マジカル ,Magical
軟化 6,軟化 ,softening
一物 6,一物 ,one thing
丶丶 6,丶丶 ,丶丶
イルマ 6,イルマ ,Irma
諸刃 6,諸刃 ,Double-edged sword
真利 6,真利 ,Mari
シャット 6,シャット ,Shut
振り下ろせ 6,振り下ろせ ,Swing it down
奥地 6,奥地 ,Outback
道標 6,道標 ,Signpost
モササウルス 6,モササウルス ,Mosasaurus
爪跡 6,爪跡 ,Claw marks
過誤 6,過誤 ,Errors
悪戦 6,悪戦 ,Bad fight
パンフ 6,パンフ ,Brochure
入り用 6,入り用 ,Needed
若旦那 6,若旦那 ,Young Master
塩基 6,塩基 ,Base
装弾 6,装弾 ,Loading
ブティック 6,ブティック ,Boutique
感応 6,感応 ,Sensitivity
マクミラン 6,マクミラン ,MacMillan
ヘイムダル 6,ヘイムダル ,Heimdall
apart 6,apart ,apart
トリ 6,トリ ,Bird
多面 6,多面 ,Many Faces
値打ち物 6,値打ち物 ,Worth it
鉈 6,鉈 ,Hatchet
泣き止 6,泣き止 ,Stop crying
運賃 6,運賃 ,Fare
野牛 6,野牛 ,wild cow
魅入 6,魅入 ,Captivated
ルウィン 6,ルウィン ,Lewin
ダントツ 6,ダントツ ,By far
續 6,續 ,Continuation
入店 6,入店 ,Entering the store
クラブル 6,クラブル ,Crabble
謝意 6,謝意 ,gratitude
モヤ 6,モヤ ,Haze
利息 6,利息 ,interest
免職 6,免職 ,Dismissal
排便 6,排便 ,defecation
萬 6,萬 ,Ten thousand
勅命 6,勅命 ,Imperial command
飛び級 6,飛び級 ,Skipping grades
諾 6,諾 ,consent
なご 6,なご ,Calm
lorne 6,lorne ,Lorne
絶体 6,絶体 ,Absolutely
打ち崩 6,打ち崩 ,Breaking down
抗弁 6,抗弁 ,Defense
虫垂 6,虫垂 ,Appendix
オリエント 6,オリエント ,Orient
mama 6,mama ,mama
さばく 6,さばく ,Desert
クロマニヨン 6,クロマニヨン ,Cro-Magnon
ストアー 6,ストアー ,Store
uav 6,uav ,UAV
フリスビー 6,フリスビー ,Frisbee
陸橋 6,陸橋 ,Overpass
紅白 6,紅白 ,Red and White
ずん 6,ずん ,Zun
テレル 6,テレル ,Terrell
パンパン 6,パンパン ,Full
定員 6,定員 ,Capacity
ずみ 6,ずみ ,Sumi
楽観視 6,楽観視 ,Optimism
フィギュロア 6,フィギュロア ,Figuroa
取消 6,取消 ,Cancellation
風邪薬 6,風邪薬 ,Cold medicine
ライデル 6,ライデル ,Rydell
cappella 6,cappella ,cappella
固形 6,固形 ,Solid
肩代わり 6,肩代わり ,Take over
堆積 6,堆積 ,deposition
いたい 6,いたい ,Ouch
チェッ 6,チェッ ,Tch
聖体 6,聖体 ,Eucharist
発給 6,発給 ,Issue
アレクサ 6,アレクサ ,Alexa
およ 6,およ ,Oh
猫背 6,猫背 ,Hunchback
ダネッシュ 6,ダネッシュ ,Danesh
セプター 6,セプター ,Scepter
狩り出 6,狩り出 ,Hunting
kc 6,kc ,kc
疑似 6,疑似 ,pseudo
軽口 6,軽口 ,Light-hearted
ンだ 6,ンだ ,Yes
多才 6,多才 ,Versatility
やり損な 6,やり損な ,Mistake
温和 6,温和 ,mildness
ぞっこん 6,ぞっこん ,Crazy
バタシー 6,バタシー ,Battersea
振り下ろ 6,振り下ろ ,Swing it down
はずせ 6,はずせ ,Remove
ヒデー 6,ヒデー ,Hide
淡 6,淡 ,pale
ほくろ 6,ほくろ ,mole 
届出 6,届出 ,Notification
イエイ 6,イエイ ,Yay!
美謀 6,美謀 ,Beautiful plan
バンケット 6,バンケット ,Banquet
beginning 6,beginning ,beginning
墾召 6,墾召 ,summoning
うなずけ 6,うなずけ ,Nod
カバノフ 6,カバノフ ,Kabanov
巾 6,巾 ,Width
インテリジェント 6,インテリジェント ,Intelligent
アタリ 6,アタリ ,Atari
ドオ 6,ドオ ,Doo
カリノ 6,カリノ ,Karino
ケーガン 6,ケーガン ,Kagan
もっぱら 6,もっぱら ,Mainly
ヒューロン 6,ヒューロン ,Huron
禿蓋 6,禿蓋 ,Bald
グーラ 6,グーラ ,Gula
歪み 6,歪み ,Distortion
無声 6,無声 ,Silence
ウィンチ 6,ウィンチ ,Winch
右隣 6,右隣 ,To the right
クソジジイ 6,クソジジイ ,Damn old man
昇華 6,昇華 ,sublimation
騰盧 6,騰盧 ,Teng Lu
がえ 6,がえ ,Change
くどくど 6,くどくど ,Go on and on
プリクラ 6,プリクラ ,Purikura
蜃気 6,蜃気 ,Mirage
重心 6,重心 ,center of gravity
コツコツ 6,コツコツ ,Steady and steady
狼煙 6,狼煙 ,smoke
ブランケット 6,ブランケット ,Blanket
スプレンディッド 6,スプレンディッド ,Splendid
重篤 6,重篤 ,Serious
熱々 6,熱々 ,Hot
耐火 6,耐火 ,fireproof
出帆 6,出帆 ,Set sail
スパイラル 6,スパイラル ,Spiral
アムソー 6,アムソー ,Amso
瘢痕 6,瘢痕 ,scar
md 6,md ,md
パートナーシップ 6,パートナーシップ ,Partnership
スキージー 6,スキージー ,Squeegee
ゲッ 6,ゲッ ,Yup
分かちあ 6,分かちあ ,Share
デザ 6,デザ ,Design
隣家 6,隣家 ,Next door
休会 6,休会 ,adjournment
ahh 6,ahh ,Ahh
買出し 6,買出し ,Shopping
勲 6,勲 ,Isamu
闘鶏 6,闘鶏 ,Cockfighting
たんび 6,たんび ,Everyday
ムーガー 6,ムーガー ,Mooga
しっぺ 6,しっぺ ,Shippe
レクリエーション 6,レクリエーション ,Recreation
孝行 6,孝行 ,Filial piety
ダクソス 6,ダクソス ,Daxos
きーずん 6,きーずん ,Kizun
マッケンジー 6,マッケンジー ,Mackenzie
ヴィセニア 6,ヴィセニア ,Visenia
神田 6,神田 ,Kanda
公会 6,公会 ,public meeting
胴元 6,胴元 ,Bookmaker
粗相 6,粗相 ,Rudeness
北山 6,北山 ,Kitayama
美香 6,美香 ,Mika
ベサニー 6,ベサニー ,Bethany
サトウ 6,サトウ ,Sato
ブラームス 6,ブラームス ,Brahms
心当り 6,心当り ,I have a feeling
prove 6,prove ,prove
語り部 6,語り部 ,Storyteller
トレントン 6,トレントン ,Trenton
接地 6,接地 ,grounding
flowers 6,flowers ,Flowers
たそがれ 6,たそがれ ,Twilight
