Korean Together,Korean,Ko to En
원하지도 22,원하지도 ,I don't want to
박물관에서 22,박물관에서 ,At the museum
애로 22,애로 ,Arrow
되냐고 22,되냐고 ,Is it okay?
됐단 22,됐단 ,Okay
말콤을 22,말콤을 ,Malcolm
납셨네 22,납셨네 ,Got kidnapped
배역을 22,배역을 ,The role
라마 22,라마 ,Rama
식을 22,식을 ,Food
있던데요 22,있던데요 ,It was there
먹었고 22,먹었고 ,I ate
6개 22,6개 ,6 pieces
거기를 22,거기를 ,There
슬퍼하지 22,슬퍼하지 ,Don't be sad
부르려고 22,부르려고 ,To call
가족이라고 22,가족이라고 ,We are family
수술의 22,수술의 ,Of surgery
압박이 22,압박이 ,The pressure
알리바이 22,알리바이 ,Alibi
윗층에서 22,윗층에서 ,Upstairs
시범 22,시범 ,Demonstration
보라고요 22,보라고요 ,Look at it
기록하고 22,기록하고 ,Record it
둘로 22,둘로 ,Two
섹시한데 22,섹시한데 ,It's sexy
승자는 22,승자는 ,The winner is
선원들이 22,선원들이 ,The sailors
군인들을 22,군인들을 ,The soldiers
별들의 22,별들의 ,Of the stars
집들이 22,집들이 ,Housewarming
척하지 22,척하지 ,Don't pretend
정장을 22,정장을 ,A suit
만날수 22,만날수 ,Can meet
공포와 22,공포와 ,Fear and
데이트하고 22,데이트하고 ,Dating
파트너야 22,파트너야 ,Partner
이동하자 22,이동하자 ,Let's move
경도 22,경도 ,Hardness
세대의 22,세대의 ,Generation of
접근하면 22,접근하면 ,When you approach
훌륭하네 22,훌륭하네 ,That's great
해놨어 22,해놨어 ,I did it
주셨어 22,주셨어 ,Gave it to me
공룡을 22,공룡을 ,Dinosaur
잠들지 22,잠들지 ,Don't sleep
본지 22,본지 ,This paper
말해줬으면 22,말해줬으면 ,If you had told me
업계 22,업계 ,Industry
일이었다 22,일이었다 ,It was a job
사람이니까요 22,사람이니까요 ,Because I'm human
너로 22,너로 ,With you
결백을 22,결백을 ,Innocence
돌아오죠 22,돌아오죠 ,Come back
물만 22,물만 ,Just water
사생활에 22,사생활에 ,In private life
이유만으로 22,이유만으로 ,Just for that reason
헤일리를 22,헤일리를 ,Haley
추가적인 22,추가적인 ,Additional
화면이 22,화면이 ,The screen
스벤 22,스벤 ,Sven
3일간 22,3일간 ,3 days
페퍼가 22,페퍼가 ,Pepper
예상한 22,예상한 ,As expected
입었지 22,입었지 ,I wore it
책이나 22,책이나 ,A book or
닭고기 22,닭고기 ,Chicken
우물 22,우물 ,Well
해볼께요 22,해볼께요 ,I'll try
똥물 22,똥물 ,Shit water
어려움이 22,어려움이 ,Difficulty
사냥은 22,사냥은 ,Hunting is
가능한지 22,가능한지 ,Is it possible?
디트로이트 22,디트로이트 ,Detroit
성장하고 22,성장하고 ,Growing up
차량으로 22,차량으로 ,By car
어머니에 22,어머니에 ,To my mother
믿도록 22,믿도록 ,To believe
태국 22,태국 ,thailand 
받으라고 22,받으라고 ,To receive it
말하더군 22,말하더군 ,He said
마법사를 22,마법사를 ,The wizard
티렐 22,티렐 ,Tyrell
brian이 22,brian이 ,brian
친구네 22,친구네 ,My friend
6개의 22,6개의 ,6 of
로라스 22,로라스 ,Lauras
주지사 22,주지사 ,Governor
했을거에요 22,했을거에요 ,I would have done it
캐슬 22,캐슬 ,Castle
찾아내고 22,찾아내고 ,Find it out
다에게 22,다에게 ,To everyone
팔았어요 22,팔았어요 ,I sold it
나무도 22,나무도 ,Trees too
올렸어 22,올렸어 ,I uploaded it
요청했어요 22,요청했어요 ,I requested it
바다는 22,바다는 ,The sea
오닐 22,오닐 ,O'Neill
아픈가 22,아픈가 ,Are you sick?
닫습니다 22,닫습니다 ,Close
재우고 22,재우고 ,Put to sleep
풀이 22,풀이 ,Solution
봉합사 22,봉합사 ,Suture
데려왔죠 22,데려왔죠 ,I brought it
줄려고 22,줄려고 ,To give
크리스티나와 22,크리스티나와 ,With Christina
받으려면 22,받으려면 ,To receive
남편분 22,남편분 ,Husband
상자는 22,상자는 ,The box
줄리아가 22,줄리아가 ,Julia
좋아했다 22,좋아했다 ,I liked it
셈이에요 22,셈이에요 ,That's right
그룹은 22,그룹은 ,The group is
노래만 22,노래만 ,Just a song
처해 22,처해 ,Situation
쓸거야 22,쓸거야 ,I'm going to use it
명으로 22,명으로 ,By name
잠자리에 22,잠자리에 ,In bed
그분들이 22,그분들이 ,They
지내는지 22,지내는지 ,How are you doing?
생각이세요 22,생각이세요 ,Do you think so?
확대 22,확대 ,Zoom in
체육관에서 22,체육관에서 ,At the gym
멀어서 22,멀어서 ,Because it's far away
데모 22,데모 ,Demo
마시구요 22,마시구요 ,Drink it
지경이야 22,지경이야 ,It's a mess
무덤이 22,무덤이 ,The grave
힌트를 22,힌트를 ,Hint
그러지마요 22,그러지마요 ,Don't do that
전통이 22,전통이 ,Tradition
시민들은 22,시민들은 ,The citizens
다니니 22,다니니 ,I'm going
썼을 22,썼을 ,Wrote
자식한테 22,자식한테 ,To my child
베드로 22,베드로 ,Peter
같던데요 22,같던데요 ,It was the same
가졌다면 22,가졌다면 ,If you had it
불쌍해 22,불쌍해 ,Poor thing
받았는데요 22,받았는데요 ,I received it
마녀는 22,마녀는 ,The witch
중환자실로 22,중환자실로 ,To the intensive care unit
전파 22,전파 ,Radio wave
백성들은 22,백성들은 ,The people
목격자를 22,목격자를 ,Witness
정밀 22,정밀 ,Precision
계단에 22,계단에 ,On the stairs
대기실에서 22,대기실에서 ,In the waiting room
거절했어 22,거절했어 ,I refused
신데렐라 22,신데렐라 ,Cinderella
끝나게 22,끝나게 ,Finished
버번 22,버번 ,Bourbon
덕분이죠 22,덕분이죠 ,Thanks to you
말했잖나 22,말했잖나 ,I told you
실수했어 22,실수했어 ,I made a mistake
비극이 22,비극이 ,Tragedy
변호사야 22,변호사야 ,I'm a lawyer
겁먹을 22,겁먹을 ,I'm scared
다루지 22,다루지 ,Don't deal with it
맥주도 22,맥주도 ,Beer too
아군 22,아군 ,Allies
서두르세요 22,서두르세요 ,Hurry up
배후가 22,배후가 ,Behind the scenes
지금이나 22,지금이나 ,Right now
1천 22,1천 ,1 thousand
세상에선 22,세상에선 ,In the world
베니가 22,베니가 ,Benny
코카인이 22,코카인이 ,Cocaine
믹 22,믹 ,mix 
나타났을 22,나타났을 ,Appeared
상공에서 22,상공에서 ,In the sky
왕이야 22,왕이야 ,He's the king
안에요 22,안에요 ,It's inside
원이 22,원이 ,The circle
팔도 22,팔도 ,Eight provinces
시키려고 22,시키려고 ,To order
부분의 22,부분의 ,Part of
고속도로에서 22,고속도로에서 ,On the highway
크리스틴은 22,크리스틴은 ,Christine is
이름은요 22,이름은요 ,What's your name?
작동하는지 22,작동하는지 ,Does it work?
쓰도록 22,쓰도록 ,To write
영구적인 22,영구적인 ,Permanent
갇혀있는 22,갇혀있는 ,Trapped
엄한 22,엄한 ,Strict
얼만지 22,얼만지 ,How much
매운 22,매운 ,Spicy
똑똑하네 22,똑똑하네 ,You're smart
들었어야 22,들었어야 ,Should have heard
바이탈 22,바이탈 ,Vital
메러디스와 22,메러디스와 ,With Meredith
보니깐 22,보니깐 ,I see
주목해 22,주목해 ,Pay attention
끼는 22,끼는 ,Fitting
수고했다 22,수고했다 ,Good job
던지기 22,던지기 ,Throw
양복을 22,양복을 ,A suit
해줬잖아 22,해줬잖아 ,I did it for you
놀라고 22,놀라고 ,Surprised
팔꿈치 22,팔꿈치 ,Elbow
선호하는 22,선호하는 ,Preferred
행복했으면 22,행복했으면 ,If you were happy
프랭크를 22,프랭크를 ,Frank
이럴줄 22,이럴줄 ,I knew it would happen
살살해 22,살살해 ,Slowly
장례식은 22,장례식은 ,The funeral
언덕을 22,언덕을 ,The hill
알기도 22,알기도 ,I know too
도날드 22,도날드 ,donald
버겐 22,버겐 ,Bergen
태아의 22,태아의 ,Fetus's
주었고 22,주었고 ,Gave it
부딪힌 22,부딪힌 ,bumped into
죽여버리고 22,죽여버리고 ,Kill me
안가도 22,안가도 ,Don't go
감염은 22,감염은 ,Infection is
비비 22,비비 ,Vivi
만지지마 22,만지지마 ,Don't touch
갈지도 22,갈지도 ,I might go
여자분이 22,여자분이 ,The woman
대비를 22,대비를 ,Contrast
누군갈 22,누군갈 ,Who
7개 22,7개 ,7 pieces
관심사가 22,관심사가 ,Interests
로디 22,로디 ,Rodi
양키 22,양키 ,Yankee
곳에는 22,곳에는 ,In that place
만들다니 22,만들다니 ,Making it
죽이겠지 22,죽이겠지 ,I'm going to kill you
자살이 22,자살이 ,Suicide
전기도 22,전기도 ,Electricity
도와주실래요 22,도와주실래요 ,Can you help me?
레이나 22,레이나 ,Reina
상사에게 22,상사에게 ,To my boss
2004년 22,2004년 ,2004
만들어줄 22,만들어줄 ,I will make it
추구하는 22,추구하는 ,Pursuing
은하를 22,은하를 ,The galaxy
뒷조사를 22,뒷조사를 ,Do a background check
성님 22,성님 ,Your Majesty
전화기는 22,전화기는 ,The phone is
훈장 22,훈장 ,Medal
폭동 22,폭동 ,Riot
배들이 22,배들이 ,The ships
사회가 22,사회가 ,Society
형제들이여 22,형제들이여 ,Brothers and sisters
월남 22,월남 ,Vietnam
가비 22,가비 ,Gabi
로니가 22,로니가 ,Ronnie
핸드 22,핸드 ,Hand
단테 22,단테 ,Dante
마취를 22,마취를 ,Anesthesia
말하던데 22,말하던데 ,As I was saying
티를 22,티를 ,Tea
수준이야 22,수준이야 ,It's level
가능한가 22,가능한가 ,Is it possible
서버 21,서버 ,Server
처리하게 21,처리하게 ,To handle
띄게 21,띄게 ,Noticeably
꿈속에 21,꿈속에 ,In my dream
누구였죠 21,누구였죠 ,Who was it
해봐야겠어 21,해봐야겠어 ,I have to try it
안정이 21,안정이 ,Stability
아멜리아가 21,아멜리아가 ,Amelia
환자죠 21,환자죠 ,I'm a patient.
핸드폰은 21,핸드폰은 ,The cell phone is
케이지가 21,케이지가 ,The cage
얘기했잖아요 21,얘기했잖아요 ,I told you
잭슨의 21,잭슨의 ,Jackson's
에이버리는 21,에이버리는 ,Avery is
개미 21,개미 ,ant 
인디아나 21,인디아나 ,Indiana
준비됐다고 21,준비됐다고 ,I'm ready
씁니다 21,씁니다 ,Write
잡아주세요 21,잡아주세요 ,Please hold me
놈들아 21,놈들아 ,You guys
비닐 21,비닐 ,vinyl 
앞만 21,앞만 ,Only the front
쪼그만 21,쪼그만 ,Tiny
저항할 21,저항할 ,To resist
윈터펠을 21,윈터펠을 ,Winterfell
헌팅던 21,헌팅던 ,Huntingdon
쿠보야 21,쿠보야 ,Kuboya
정신없이 21,정신없이 ,Crazy
주동안 21,주동안 ,During the week
입히고 21,입히고 ,Put it on
우리한테는 21,우리한테는 ,For us
수고해 21,수고해 ,thanks for your effort 
부자로 21,부자로 ,To be rich
구슬을 21,구슬을 ,The beads
핫한 21,핫한 ,Hot
혹독한 21,혹독한 ,Harsh
요기 21,요기 ,Here
애리조나는 21,애리조나는 ,Arizona is
바르쏠로뮤씨 21,바르쏠로뮤씨 ,Mr. Bartholomew
레벨이 21,레벨이 ,The level is
리퍼 21,리퍼 ,Ripper
옷만 21,옷만 ,Just clothes
나사를 21,나사를 ,Screw
깨지는 21,깨지는 ,Broken
동정심 21,동정심 ,Sympathy
비웃는 21,비웃는 ,Laughing
것같아 21,것같아 ,I think so
털리버 21,털리버 ,Tullyver
복싱 21,복싱 ,Boxing
투표가 21,투표가 ,The vote
엔진에 21,엔진에 ,In the engine
지붕을 21,지붕을 ,The roof
그사람을 21,그사람을 ,That person
말투 21,말투 ,Tone of speech
에구 21,에구 ,Oh my
손님들을 21,손님들을 ,The guests
잘렸어 21,잘렸어 ,It's cut off
동작을 21,동작을 ,Action
기다리다가 21,기다리다가 ,While waiting
줄여야 21,줄여야 ,Need to reduce
그러든지 21,그러든지 ,Either way
스펜서가 21,스펜서가 ,Spencer
싸워야지 21,싸워야지 ,We have to fight
털어놔 21,털어놔 ,Tell me
입장에선 21,입장에선 ,From my perspective
노동 21,노동 ,Labor
나부터 21,나부터 ,From me
무슨말이야 21,무슨말이야 ,What are you talking about 
함께하게 21,함께하게 ,Together
이루고 21,이루고 ,Achieve
무리한 21,무리한 ,Forced
희망이야 21,희망이야 ,Hope
있더라구요 21,있더라구요 ,There was one
설계한 21,설계한 ,Designed
게시판에 21,게시판에 ,On the bulletin board
의도한 21,의도한 ,Intended
거래할 21,거래할 ,To trade
동 21,동 ,dong 
알아낼거야 21,알아낼거야 ,I'll figure it out
생깁니다 21,생깁니다 ,It happens
루시퍼의 21,루시퍼의 ,Lucifer's
알로 21,알로 ,Alo
깃털 21,깃털 ,Feather
싫어했어 21,싫어했어 ,I hated it
여자니까 21,여자니까 ,Because I'm a woman
전화좀 21,전화좀 ,Call me
프린트 21,프린트 ,Print
붙었다 21,붙었다 ,It's stuck
돌아옵니다 21,돌아옵니다 ,Come back
미로 21,미로 ,Maze
된건가 21,된건가 ,Is it done?
아래는 21,아래는 ,Below is
독실한 21,독실한 ,Devout
강은 21,강은 ,The river
눈먼 21,눈먼 ,Blind
생각안해 21,생각안해 ,Don't think about it
돌아왔다고 21,돌아왔다고 ,I'm back
사람이잖아요 21,사람이잖아요 ,You're a person
기업의 21,기업의 ,The company's
등의 21,등의 ,Etc.
싫은가 21,싫은가 ,Do you hate it?
팬케익 21,팬케익 ,Pancakes
척이 21,척이 ,Chuck
개너 21,개너 ,Ganne
큰일이 21,큰일이 ,Big problem
20분이나 21,20분이나 ,20 minutes or so
미래도 21,미래도 ,The future too
맞았을 21,맞았을 ,It was right
맘은 21,맘은 ,My heart
해석 21,해석 ,Interpretation
크리스티나도 21,크리스티나도 ,Christina too
독립적인 21,독립적인 ,Independent
빠뜨린 21,빠뜨린 ,Missed
서울에 21,서울에 ,In Seoul
바쁘지 21,바쁘지 ,Not busy
건조기 21,건조기 ,Dryer
계획이라도 21,계획이라도 ,Even if it's a plan
자살로 21,자살로 ,By suicide
어미는 21,어미는 ,Mother
시노짱 21,시노짱 ,Shino-chan
밝히지 21,밝히지 ,Not reveal
짓거리를 21,짓거리를 ,Doing something
기대고 21,기대고 ,Lean on
뭐라는거야 21,뭐라는거야 ,What are you saying?
교육은 21,교육은 ,Education is
롤 21,롤 ,Roll
끈을 21,끈을 ,The string
치인 21,치인 ,Chiin
회복이 21,회복이 ,Recovery
엊그제 21,엊그제 ,The day before yesterday
갓프리 21,갓프리 ,Godfrey
알아들었어요 21,알아들었어요 ,I understand
건강할 21,건강할 ,Be healthy
엠마는 21,엠마는 ,Emma is
베르너 21,베르너 ,Werner
타디스에 21,타디스에 ,In the Tardis
있는거예요 21,있는거예요 ,It exists
기디언 21,기디언 ,Gideon
물어도 21,물어도 ,Even if I ask
당신입니다 21,당신입니다 ,It's you
소설가 21,소설가 ,Novelist
자랐고 21,자랐고 ,Grew up
튼튼한 21,튼튼한 ,Strong
열정과 21,열정과 ,Passion and
바라진 21,바라진 ,Wish
진다 21,진다 ,Jinda
충성스런 21,충성스런 ,Loyal
베니는 21,베니는 ,Benny is
타오 21,타오 ,Tao
다녀야 21,다녀야 ,I have to go
동무들 21,동무들 ,Comrades
동맥류가 21,동맥류가 ,Aneurysm
없겠어요 21,없겠어요 ,No way
이루어질 21,이루어질 ,Will be done
나올까 21,나올까 ,Will it come out?
함선으로 21,함선으로 ,By ship
이해하실 21,이해하실 ,I understand
렉시를 21,렉시를 ,Lexi
풀렸어 21,풀렸어 ,It's solved
금은 21,금은 ,Gold and silver
경계가 21,경계가 ,The border
삼가 21,삼가 ,Respectfully
선회 21,선회 ,Turn
병태야 21,병태야 ,Byungtae
부를까 21,부를까 ,Should I call?
싫다고요 21,싫다고요 ,I don't like it
얼굴이나 21,얼굴이나 ,Face or
크다고 21,크다고 ,It's big
찾아봤어요 21,찾아봤어요 ,I looked it up
기집애 21,기집애 ,A girl
전학 21,전학 ,Transfer
짧아 21,짧아 ,Short
연대 21,연대 ,Solidarity
식의 21,식의 ,Food
단서도 21,단서도 ,No clues
기억나죠 21,기억나죠 ,Do you remember?
쿠키와 21,쿠키와 ,Cookies and
당신네들 21,당신네들 ,You guys
자살은 21,자살은 ,Suicide is
움직입시다 21,움직입시다 ,Let's move
테러리스트가 21,테러리스트가 ,The terrorist
신화 21,신화 ,Myth
느껴보자 21,느껴보자 ,Let's feel it
알아봐야 21,알아봐야 ,I have to find out
억양을 21,억양을 ,The accent
천재가 21,천재가 ,A genius
계시네 21,계시네 ,You are here
해결할게요 21,해결할게요 ,I'll solve it
떠드는 21,떠드는 ,Noisy
에너지의 21,에너지의 ,Energy of
에스코바르의 21,에스코바르의 ,Escobar's
씨야 21,씨야 ,See ya
이건가 21,이건가 ,Is this it?
만드려고 21,만드려고 ,To make
두는게 21,두는게 ,Putting it
한다는걸 21,한다는걸 ,That I'm doing it
찾기위해 21,찾기위해 ,To find
후퍼 21,후퍼 ,Hooper
벗어요 21,벗어요 ,Take it off
베니의 21,베니의 ,Benny's
사왓디 21,사왓디 ,Sawatdi
4주 21,4주 ,4 weeks
만은 21,만은 ,Only
견인기 21,견인기 ,Tractor
흐름이 21,흐름이 ,The flow
보안관을 21,보안관을 ,The sheriff
세상도 21,세상도 ,The world too
아가씬 21,아가씬 ,Agashin
있었나봐 21,있었나봐 ,I guess it was there
그럴지도요 21,그럴지도요 ,Maybe so
퍼거스 21,퍼거스 ,Fergus
쓰지도 21,쓰지도 ,Don't even write
난실아 21,난실아 ,Nansil-ah
스캐맨더 21,스캐맨더 ,Scamander
제왕절개를 21,제왕절개를 ,Caesarean section
되십니까 21,되십니까 ,Are you okay?
따라잡을 21,따라잡을 ,Catch up
유머 21,유머 ,Humor
손전등 21,손전등 ,Flashlight
참조 21,참조 ,reference 
벗지 21,벗지 ,Take off your clothes
기술이지 21,기술이지 ,It's technology
모자는 21,모자는 ,The hat
찰스는 21,찰스는 ,Charles
물이나 21,물이나 ,Water or
소다 21,소다 ,Soda
풀러 21,풀러 ,Fuller
지붕이 21,지붕이 ,The roof
새낀 21,새낀 ,Newbie
매달린 21,매달린 ,Hanging
좋아하는걸 21,좋아하는걸 ,What I like
따라오시죠 21,따라오시죠 ,Follow me
기억들이 21,기억들이 ,Memories
작전이야 21,작전이야 ,It's an operation
이곳에서의 21,이곳에서의 ,In this place
목표에 21,목표에 ,To the goal
대답도 21,대답도 ,The answer too
약쟁이 21,약쟁이 ,Pharmacist
시도도 21,시도도 ,Attempt too
먹는데 21,먹는데 ,Eating
걸렸네요 21,걸렸네요 ,I got caught
붙잡을 21,붙잡을 ,Catch
그쪽을 21,그쪽을 ,That side
오는거야 21,오는거야 ,Coming
해봤죠 21,해봤죠 ,I tried it
모르겠는걸 21,모르겠는걸 ,I don't know
아셨나요 21,아셨나요 ,Did you know
소리쳐 21,소리쳐 ,Shout out
제물을 21,제물을 ,The offering
학생들은 21,학생들은 ,The students
말하기는 21,말하기는 ,Speaking
자네보다 21,자네보다 ,Than you
스타워즈 21,스타워즈 ,Star Wars
사방으로 21,사방으로 ,In all directions
듬뿍 21,듬뿍 ,Plenty
감각 21,감각 ,sense
찾아냈지 21,찾아냈지 ,I found it
레이를 21,레이를 ,Ray
없었을거야 21,없었을거야 ,There wouldn't have been any
사주고 21,사주고 ,Buy it for me
별은 21,별은 ,The star
동안만 21,동안만 ,Only during
담배도 21,담배도 ,Cigarettes too
맞아도 21,맞아도 ,Even if it's right
부와 21,부와 ,Wealth and
꺼버려 21,꺼버려 ,Turn it off
일들도 21,일들도 ,Things too
애초부터 21,애초부터 ,From the beginning
걸리게 21,걸리게 ,Get caught
수사는 21,수사는 ,The investigation
콜이 21,콜이 ,Call
안아보자 21,안아보자 ,Let's hug
말기 21,말기 ,Terminal
조지와 21,조지와 ,George and
잃어버릴 21,잃어버릴 ,Lose it
듣고있어 21,듣고있어 ,I'm listening
동정심을 21,동정심을 ,Sympathy
하나였어 21,하나였어 ,There was one
꽃도 21,꽃도 ,Flowers too
알아야할 21,알아야할 ,Things to know
사냥꾼이 21,사냥꾼이 ,The hunter
들어올래 21,들어올래 ,Come in
축소 21,축소 ,Reduce
정신병원 21,정신병원 ,Mental hospital
수술용 21,수술용 ,For surgical use
잡죠 21,잡죠 ,Got it
뭐였는데 21,뭐였는데 ,What was it
케이티가 21,케이티가 ,Katie
비밀에 21,비밀에 ,In secret
만나봤어요 21,만나봤어요 ,I met you
상기시켜 21,상기시켜 ,Remind me
들으니까 21,들으니까 ,I heard
만들려는 21,만들려는 ,Want to make
시킨대로 21,시킨대로 ,As ordered
펭의 21,펭의 ,Penguin's
축제에 21,축제에 ,At the festival
시작하도록 21,시작하도록 ,Let's get started
지상의 21,지상의 ,On the ground
잡으려면 21,잡으려면 ,To catch
얼간아 21,얼간아 ,You idiot
단어로도 21,단어로도 ,Even in words
반응도 21,반응도 ,Reaction rate
괜찮겠니 21,괜찮겠니 ,Are you okay?
애타게 21,애타게 ,Desperately
잇 21,잇 ,it 
그렇지도 21,그렇지도 ,Not really
아나스타샤 21,아나스타샤 ,Anastasia
돌려줄게 21,돌려줄게 ,I'll give it back
합격 21,합격 ,Pass
전데요 21,전데요 ,It's all over
소가 21,소가 ,Cow
빌게요 21,빌게요 ,I'll borrow it
간거지 21,간거지 ,Liver
외딴 21,외딴 ,Isolated
분이요 21,분이요 ,It's a minute
알렉세이 21,알렉세이 ,Alexey
누우세요 21,누우세요 ,Lie down
모르실 21,모르실 ,I don't know
좀처럼 21,좀처럼 ,Hardly
두근거리자 21,두근거리자 ,Let's get excited
얘기하는데 21,얘기하는데 ,Talking
내장 21,내장 ,Built-in
트로이 21,트로이 ,Troy
제안합니다 21,제안합니다 ,I suggest
핑크색 21,핑크색 ,Pink
잘래 21,잘래 ,I want to cut it
기소를 21,기소를 ,Prosecution
마사지를 21,마사지를 ,Massage
여러모로 21,여러모로 ,In many ways
살은 21,살은 ,flesh
지배하고 21,지배하고 ,Dominate and
오해한 21,오해한 ,Misunderstood
아린 21,아린 ,Arin
나노 21,나노 ,Nano
이었습니다 21,이었습니다 ,It was
다가오지 21,다가오지 ,Don't come near
그만두라고 21,그만두라고 ,Stop it
엘리자베스를 21,엘리자베스를 ,Elizabeth
숙녀는 21,숙녀는 ,The lady
문제만 21,문제만 ,Only problems
캠퍼스 21,캠퍼스 ,Campus
집중하세요 21,집중하세요 ,Focus
불길이 21,불길이 ,The flames
컵을 21,컵을 ,The cup
저번에도 21,저번에도 ,Last time too
놈들이지 21,놈들이지 ,Those guys
구석에서 21,구석에서 ,In the corner
줘야겠어 21,줘야겠어 ,I have to give it to you
누 21,누 ,who 
차원 21,차원 ,Dimension
영역에 21,영역에 ,In the area
사랑아 21,사랑아 ,Love
귀요미 21,귀요미 ,Cutie
강아지야 21,강아지야 ,Hey puppy
글로리는 21,글로리는 ,Glory is
똑같잖아 21,똑같잖아 ,It's the same
아담스 21,아담스 ,Adams
모험이 21,모험이 ,The adventure
논리적으로 21,논리적으로 ,Logically
앤디랑 21,앤디랑 ,With Andy
경계에 21,경계에 ,On the border
후반 21,후반 ,Second half
고리를 21,고리를 ,The ring
국민들이 21,국민들이 ,The people
플로리다에서 21,플로리다에서 ,In Florida
식으론 21,식으론 ,In terms of food
떠요 21,떠요 ,Floating
마더 21,마더 ,Mother
물렸어 21,물렸어 ,I got bitten
재미있지 21,재미있지 ,It's funny
x발 21,x발 ,F*ck
추락한 21,추락한 ,Fallen
척이라도 21,척이라도 ,Even if it's just a guess
사용되는 21,사용되는 ,Used
넘어요 21,넘어요 ,It's over
불가능할 21,불가능할 ,Impossible
사랑이란 21,사랑이란 ,Love is
보잘 21,보잘 ,Little
요청이 21,요청이 ,The request
끝난다 21,끝난다 ,It's over
주장이 21,주장이 ,The claim is
일이군 21,일이군 ,That's it
사람이기 21,사람이기 ,To be human
담당자가 21,담당자가 ,The person in charge
존재한다 21,존재한다 ,It exists
모자란 21,모자란 ,Lacking
답답한 21,답답한 ,stuffy
뿐이란다 21,뿐이란다 ,That's all
대답해야 21,대답해야 ,I have to answer
헨리의 21,헨리의 ,Henry's
가방에서 21,가방에서 ,In the bag
제거하지 21,제거하지 ,Don't remove
권한으로 21,권한으로 ,By authority
스캔들 21,스캔들 ,Scandal
꿇어라 21,꿇어라 ,Kneel down
사망했다 21,사망했다 ,Died
두려울 21,두려울 ,Fearful
노르웨이 21,노르웨이 ,Norway
완다 21,완다 ,Wanda
아비는 21,아비는 ,My father
아들이라고 21,아들이라고 ,He's my son
끝났죠 21,끝났죠 ,It's over
즉슨 21,즉슨 ,That is
쩐다 21,쩐다 ,It's awesome
농담이겠지 21,농담이겠지 ,You must be joking
축제를 21,축제를 ,The festival
쓸모없어 21,쓸모없어 ,It's useless
퍼지는 21,퍼지는 ,Spreading
가득차 21,가득차 ,Full
대런 21,대런 ,Darren
호세 21,호세 ,Jose
되시면 21,되시면 ,If you can
뭐부터 21,뭐부터 ,From what
점수는 21,점수는 ,The score is
태어났다 21,태어났다 ,was born
돌리게 21,돌리게 ,Turn it around
식구들 21,식구들 ,Family members
말씀해주실 21,말씀해주실 ,Please tell me
cd를 21,cd를 ,cd
춰요 21,춰요 ,Dance
2년동안 21,2년동안 ,For 2 years
뒷마당에 21,뒷마당에 ,In the backyard
안되겠어요 21,안되겠어요 ,It won't work
꼭대기 21,꼭대기 ,Top
가졌는데 21,가졌는데 ,I have it
그랬다는 21,그랬다는 ,That's what happened
루이사 21,루이사 ,Louisa
응응 21,응응 ,Yeah yeah
재밌죠 21,재밌죠 ,It's fun
무장을 21,무장을 ,Armed
신경써야 21,신경써야 ,Need to take care
나아졌어요 21,나아졌어요 ,It got better
일합니다 21,일합니다 ,I work
발레리아 21,발레리아 ,Valeria
스웨거 21,스웨거 ,Swagger
사과해야 21,사과해야 ,I have to apologize
차까지 21,차까지 ,To the car
그러겠죠 21,그러겠죠 ,I guess so
슬픔은 21,슬픔은 ,Sadness is
장담하건데 21,장담하건데 ,I guarantee it
게지 21,게지 ,Gauge
발표가 21,발표가 ,The announcement
하늘과 21,하늘과 ,Sky and
개비 21,개비 ,Gabby
사람으로서 21,사람으로서 ,As a person
샀다 21,샀다 ,Bought it
레지는 21,레지는 ,Regina
짓거리 21,짓거리 ,Doing things
주황색 21,주황색 ,Orange
좋았고 21,좋았고 ,It was good
산제이 21,산제이 ,Sanjay
불꽃놀이 21,불꽃놀이 ,Fireworks
정맥을 21,정맥을 ,The vein
완벽 21,완벽 ,Perfect
캘리를 21,캘리를 ,Cali
떨어지세요 21,떨어지세요 ,Fall down
어디로부터 21,어디로부터 ,From where
흔드는 21,흔드는 ,Shaking
포크 21,포크 ,fork 
저지르는 21,저지르는 ,Commit
못하는군 21,못하는군 ,I can't do it
지키게 21,지키게 ,Keep it
엎드리세요 21,엎드리세요 ,Lie down
끼 21,끼 ,talent 
이기려고 21,이기려고 ,To win
주자고 21,주자고 ,Let's run
올려줘 21,올려줘 ,Put it up
환상이 21,환상이 ,Fantasy
행복의 21,행복의 ,Of happiness
갚고 21,갚고 ,Pay it off
아픈지 21,아픈지 ,Are you sick?
계속될 21,계속될 ,To be continued
어머님의 21,어머님의 ,Mother's
자코 21,자코 ,Jaco
라디오에 21,라디오에 ,On the radio
정보로 21,정보로 ,With information
페인터 21,페인터 ,Painter
싱크수정 21,싱크수정 ,Sink correction
당일 21,당일 ,Same day
햇빛 21,햇빛 ,sunlight 
그때마다 21,그때마다 ,Every time
동굴에서 21,동굴에서 ,In the cave
곳이잖아 21,곳이잖아 ,It's a place
거냐고요 21,거냐고요 ,Are you kidding me?
보지는 21,보지는 ,I don't see it
강력히 21,강력히 ,Strongly
토대로 21,토대로 ,Based on
접수 21,접수 ,receipt 
본성을 21,본성을 ,Nature
사과하려고 21,사과하려고 ,To apologize
경치가 21,경치가 ,The scenery
경영 21,경영 ,management 
카드로 21,카드로 ,By card
